,1Kints.txt,2Kints.txt,4Kints.txt,8Kints.txt,16Kints.txt,32Kints.txt
Arrays.sort(),0.0,0.0,0.0,0.0,0.0,1.0
BubbleSort,0.0,2.0,19.0,28.0,106.0,422.0
SelectionSort,0.0,3.0,8.0,42.0,104.0,356.0
InsertionSort,0.0,0.0,0.0,0.0,0.0,0.0
Mergesort,0.0,0.0,1.0,0.0,1.0,2.0
Quicksort,2.0,7.0,4.0,19.0,66.0,262.0
